,Renewables,Coal,Natural Gas
North America,842.72892,1120560.478,29158.24518
Bermuda,0,0,0
Canada,360.249,52497.5785,2935.73595
Greenland,0,0,0
Mexico,46.0115,19767.74961,2134.50923
Saint Pierre and Miquelon,0,0,0
United States,436.46842,1048295.15,24088
Central & South America,NA,49738.8459,4854.04838
Antarctica,0.004,0,0
Antigua and Barbuda,0,0,0
Argentina,NA,1828.73455,1528.78635
Aruba,0.1,0,0
"Bahamas, The",0,0,0
Barbados,0,0,1.03
Belize,NA,0,0
Bolivia,NA,0,96.0568
Brazil,429.6742,25370.79825,889.938
Cayman Islands,0,0,0
Chile,25.981,8558.3454,187.80517
Colombia,40.465,5576.59317,320.6602
Costa Rica,NA,114.64038,0
Cuba,0.6257,37.47859,40.61225
Dominica,NA,0,0
Dominican Republic,1.4645,977.40846,28.9583
Ecuador,8.95304,0,11.65395
El Salvador,NA,0,0
Falkland Islands (Islas Malvinas),0.002,0,0
French Guiana,0.01,0,0
Grenada,0,0,0
Guadeloupe,0.15,0,0
Guatemala,NA,1250.02108,0
Guyana,NA,0,0
Haiti,NA,0,0
Honduras,NA,126.76581,0
Jamaica,NA,13.22774,0
Martinique,0.002,0,0
Montserrat,0,0,0
Netherlands Antilles,0.06,0,0
Nicaragua,1.149,71.65024,0
Panama,NA,66.13868,0
Paraguay,NA,0.31967,0
Peru,19.76605,1165.14311,191.05415
Puerto Rico,NA,1653.46704,27.153
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent/Grenadines,NA,0,0
Suriname,NA,0,0
Trinidad and Tobago,0.02,1.10231,779.7552
Turks and Caicos Islands,0,0,0
Uruguay,NA,2.57941,2.8252
Venezuela,76.01,2924.43204,747.75981
"Virgin Islands,  U.S.",0,0,0
"Virgin Islands, British",0,0,0
Europe,NA,957420.2475,20637.59159
Albania,NA,46.29708,1.05945
Austria,44.0589,5093.78079,334.99809
Belgium,7.3,3287.09247,716.29415
Bosnia and Herzegovina,NA,11789.21999,7.41615
Bulgaria,NA,35611.27078,76.63355
Croatia,NA,2217.85046,100.25929
Cyprus,NA,9.9208,0
Czech Republic,5.725,54866.44561,327.7232
Denmark,12.286,7185.96775,174.70331
Faroe Islands,0.08034,0,0
Finland,23.469,8110.80698,166.2277
Former Czechoslovakia,--,--,--
Former Serbia and Montenegro,--,--,--
Former Yugoslavia,--,--,--
France,78.526,20020.17891,1699.00465
Germany,104.232,255746.1562,3437.17364
"Germany, East",--,--,--
"Germany, West",--,--,--
Gibraltar,0,0,0
Greece,8.946,61136.39262,134.51484
Hungary,3.097,11802.44773,425.61638
Iceland,16.766,126.76581,0
Ireland,3.4314,2104.31239,201.40145
Italy,76.186,22852.01679,2930.47402
Luxembourg,0.3023,113.53807,48.16966
Macedonia,NA,7710.66796,2.8252
Malta,0.002,0,0
Montenegro,NA,1631.42081,0
Netherlands,12.241,13785.50586,1937.52216
Norway,117.671,1374.58227,203.4144
Poland,10.5885,148870.456,607.31206
Portugal,27.573,2976.24067,182.04883
Romania,19.967,35913.30409,454.50405
Serbia,NA,42085.1454,79.8119
Slovakia,6.067,7710.66796,221.10722
Slovenia,4.851,5640.52723,37.4339
Spain,94.093,18497.88692,1265.15988
Sweden,83.312,4338.69751,59.082
Switzerland,38.4705,271.16859,130.02983
Turkey,55.118,109120.0061,1346.17249
United Kingdom,26.252,55373.50883,3329.4982
Eurasia,NA,439185.0965,21005.30903
Armenia,NA,66.13868,61.09495
Azerbaijan,NA,0,350.36012
Belarus,NA,83.77566,770.5733
Estonia,0.993,19763.34036,24.75582
Former U.S.S.R.,--,--,--
Georgia,NA,256.83855,58.26975
Kazakhstan,6.471,86862.13513,303.24991
Kyrgyzstan,NA,759.49253,16.33319
Latvia,3.585,143.30048,53.6788
Lithuania,NA,337.30728,109.4765
Moldova,NA,176.36982,76.63355
Russia,167.465,256795.5566,14960.8466
Tajikistan,NA,221.56458,7.98119
Turkmenistan,NA,0,720.426
Ukraine,12.885,69803.86684,1877.3454
Uzbekistan,NA,3915.40995,1614.28397
Middle East,NA,15413.61974,13244.9967
Bahrain,0.002,22.04623,432.60875
Iran,9.685,1967.62578,5105.8427
Iraq,NA,0,45.9095
Israel,0.0933,13032.6272,128.89975
Jordan,NA,0,96.7631
Kuwait,0,0,445.78125
Lebanon,NA,322.97723,0
Oman,0,0,618.7188
Palestine,0,0,0
Qatar,0,2.20462,769.867
Saudi Arabia,0,61.72944,3095.7129
Syria,NA,4.40925,340.08345
United Arab Emirates,0.02,0,2137.9701
Yemen,0,0,26.8394
Africa,NA,217208.2488,3553.64251
Algeria,NA,434.31068,1017.7783
Angola,NA,0,25.8859
Benin,NA,0,0
Botswana,0,816.81272,0
Burkina Faso,NA,0,0
Burundi,NA,0,0
Cameroon,NA,0,0.7063
Cape Verde,0.007,0,0
Central African Republic,NA,0,0
Chad,0,0,0
Comoros,NA,0,0
Congo (Brazzaville),NA,0,32.84295
Congo (Kinshasa),NA,376.99048,0
Cote dIvoire (IvoryCoast),NA,0,56.504
Djibouti,0,0,0
Egypt,15.2102,1000.89871,1630.1404
Equatorial Guinea,NA,0,55.7977
Eritrea,0.002,0,0
Ethiopia,NA,0,0
Gabon,NA,0,2.8252
"Gambia, The",0,0,0
Ghana,NA,0,4.2378
Guinea,NA,0,0
Guinea-Bissau,0,0,0
Kenya,NA,113.53807,0
Lesotho,NA,0,0
Liberia,0,0,0
Libya,0,0,241.69586
Madagascar,NA,11.02311,0
Malawi,NA,71.65024,0
Mali,NA,0,0
Mauritania,NA,0,0
Mauritius,NA,540.13257,0
Morocco,4.0681,3451.33687,20.12955
Mozambique,NA,36.37627,2.8252
Namibia,1.235,157.63052,0
Niger,0,198.41604,0
Nigeria,NA,8.81849,175.51555
Reunion,NA,0,0
Rwanda,NA,0,0
Saint Helena,0,0,0
Sao Tome and Principe,NA,0,0
Senegal,NA,345.02346,1.76575
Seychelles,0,0,0
Sierra Leone,NA,0,0
Somalia,NA,0,0
South Africa,NA,206192.8514,141.61315
Sudan and South Sudan,NA,0,0
Swaziland,NA,251.32699,0
Tanzania,NA,104.71958,27.5457
Togo,NA,0,0
Tunisia,NA,0,115.8332
Uganda,NA,0,0
Western Sahara,0,0,0
Zambia,NA,1.10231,0
Zimbabwe,NA,3095.2903,0
Asia & Oceania,NA,5195176.661,20465.89006
Afghanistan,NA,38.5809,1.05945
American Samoa,0,0,0
Australia,18.208,145155.6668,1141.45143
Bangladesh,NA,1984.16045,710.89095
Bhutan,NA,90.38953,0
Brunei,0,0,104.88555
Burma (Myanmar),NA,1115.5391,116.18635
Cambodia,NA,0,0
China,764.54,3695377.579,3768.46365
Cook Islands,0.00013,0,0
Fiji,0.4541,13.22774,0
French Polynesia,NA,0,0
Guam,0,0,0
Hawaiian Trade Zone,--,--,--
Hong Kong,0.001,11380.26248,141.9663
India,132.364,721986.3827,2277.46435
Indonesia,19.8862,54228.20733,1460.27525
Japan,102.837,205983.4122,3718.10446
Kiribati,0,0,0
"Korea, North",NA,30349.93866,0
"Korea, South",6.265,125575.3101,1514.62504
Laos,3.229,442.02686,0
Macau,0,0,0
Malaysia,9.33501,21322.00863,1144.9123
Maldives,0.0001,0,0
Mongolia,0.0024,9495.31005,0
Nauru,0,0,0
Nepal,NA,369.27431,0
New Caledonia,NA,330.69341,0
New Zealand,32.1923,3513.61746,147.22824
Niue,0,0,0
Pakistan,27.995,11588.59932,1399.53345
Papua New Guinea,NA,0,3.88465
Philippines,17.237,18193.64899,101.0009
Samoa,NA,0,0
Singapore,0.1,390.21822,296.646
Solomon Islands,0,0,0
Sri Lanka,NA,210.54147,0
Taiwan,NA,71374.97028,535.3754
Thailand,11.335,38947.96727,1592.0002
Timor-Leste (East Timor),0,0,0
Tonga,0,0,0
U.S. Pacific Islands,NA,0,0
Vanuatu,0,0,0
Vietnam,27.425,25719.12864,289.93615
Wake Island,0,0,0
World,NA,7994703.198,112919.7234
